site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_sim_site,nearest_volt,power_pool,US_region,automated_error
10322,43.3,-89.4,GIC,measured,NERC,noisy,2.057880568862676,0.3134201664473121,52.0333026180062,-19.938639442691468,0.3969577298427538,,,MISO,Central,Baseline offset detected (median value: 5.2 A)
10336,44.8,-91.5,GIC,measured,NERC,1-min cadence,1.0779706740382995,0.0326069461229064,53.40663846471589,-22.622401300691788,0.464872615753863,,,MISO,Central,Baseline offset detected (median value: 1.2 A)
10338,44.8,-91.5,GIC,measured,NERC,high cadence,1.0779706740382995,0.0326069461229064,53.40663846471589,-22.622401300691788,0.464872615753863,,,MISO,Central,Unphysical spike detected (max diff: 48.879999999999995 A)
10339,43.7,-95.7,GIC,measured,NERC,noisy,1.2680504229953962,0.103136523256494,52.027800606394216,-27.39623531222694,0.3967066416923089,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10340,43.7,-95.7,GIC,measured,NERC,noisy,1.2680504229953962,0.103136523256494,52.027800606394216,-27.39623531222694,0.3967066416923089,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10341,45.0,-93.5,GIC,measured,NERC,high cadence,0.830843512382833,-0.0804807669601032,53.476725815777606,-25.0215648450776,0.4686346508493795,,115.0,MISO,Central,Unphysical spike detected (max diff: 41.73 A)
10342,45.0,-93.5,GIC,measured,NERC,"high cadence, missing periods of data",0.830843512382833,-0.0804807669601032,53.476725815777606,-25.0215648450776,0.4686346508493795,,115.0,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10343,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,0.2952853041740031,56.09525938105576,-29.83728216797349,0.6333067037053542,,69.0,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10344,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,0.2952853041740031,56.09525938105576,-29.83728216797349,0.6333067037053542,,69.0,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10345,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,0.2952853041740031,56.09525938105576,-29.83728216797349,0.6333067037053542,,69.0,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10347,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,0.2952853041740031,56.09525938105576,-29.83728216797349,0.6333067037053542,,69.0,MISO,Central,Baseline offset detected (median value: -2.0 A)
10348,45.5,-94.3,GIC,measured,NERC,high cadence,1.557177655525663,0.1923381632508964,53.91921688334639,-26.05095161799405,0.4930989883347672,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10349,44.8,-93.6,GIC,measured,NERC,"high cadence, missing periods of data",0.9811921599604532,-0.0082459306037645,53.270871439606026,-25.107712191220863,0.4576708307451047,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
