site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,power_pool,US_region,nearest_sim_site
10293,43.0,-72.7,GIC,measured,NERC,"not smooth, missing periods of data",1.855730884607322,ISONE,East,
10294,44.1,-73.2,GIC,measured,NERC,missing periods of data,1.2176979111964337,ISONE,East,
10295,42.8,-72.5,GIC,measured,NERC,"not centered on zero, cutoff around zero",2.031084131575116,ISONE,East,
10296,43.6,-73.1,GIC,measured,NERC,missing periods of data,1.0984825737037112,ISONE,East,
10333,44.4,-96.5,GIC,measured,NERC,"noisy, not centered on zero",1.4244053758465474,SPP,Central,
10334,44.4,-96.5,GIC,measured,NERC,not smooth,1.4244053758465474,SPP,Central,
10335,45.1,-93.5,GIC,measured,NERC,empty plot,0.8098156397016619,MISO,Central,
10346,47.9,-97.1,GIC,measured,NERC,missing periods of data,1.973718919571009,MISO,Central,
10359,33.7,-111.9,GIC,measured,NERC,low values,0.7318294816873394,WestConnect,West,
10360,40.2,-75.3,GIC,measured,NERC,not smooth,2.691713307197934,PJM,East,
10361,40.2,-75.3,GIC,measured,NERC,missing periods of data,2.691713307197934,PJM,East,
10362,39.8,-76.3,GIC,measured,NERC,missing periods of data,2.44308449385514,PJM,East,
10363,40.2,-75.6,GIC,measured,NERC,not smooth,2.343391466974178,PJM,East,
10364,40.2,-75.6,GIC,measured,NERC,not smooth,2.343391466974178,PJM,East,
10399,39.1,-78.3,GIC,measured,NERC,high cadence,2.0731811017327963,PJM,East,
10400,39.1,-78.3,GIC,measured,NERC,high cadence,2.0731811017327963,PJM,East,
10401,39.1,-78.3,GIC,measured,NERC,high cadence,2.0731811017327963,PJM,East,
10402,39.5,-78.9,GIC,measured,NERC,,1.100117757927958,PJM,East,
10403,39.5,-78.9,GIC,measured,NERC,noisy,1.100117757927958,PJM,East,
10404,39.5,-77.9,GIC,measured,NERC,high cadence,2.975750740745741,PJM,East,
10405,39.5,-77.9,GIC,measured,NERC,high cadence,2.975750740745741,PJM,East,
10406,39.5,-77.9,GIC,measured,NERC,high cadence,2.975750740745741,PJM,East,
10407,39.5,-77.9,GIC,measured,NERC,high cadence,2.975750740745741,PJM,East,
10409,39.3,-77.5,GIC,measured,NERC,high cadence,3.214361482606811,PJM,East,
10410,39.3,-77.5,GIC,measured,NERC,empty plot,3.214361482606811,PJM,East,
10411,39.3,-77.5,GIC,measured,NERC,high cadence,3.214361482606811,PJM,East,
10412,39.3,-77.5,GIC,measured,NERC,high cadence,3.214361482606811,PJM,East,
10413,39.3,-77.5,GIC,measured,NERC,empty plot,3.214361482606811,PJM,East,
10414,39.4,-77.4,GIC,measured,NERC,"low values, not smooth",3.647067586236612,PJM,East,
10415,44.1,-103.2,GIC,measured,NERC,"not smooth, missing periods of data",0.3562053270327211,WestConnectNonEnrolled,West,
10416,44.1,-103.2,GIC,measured,NERC,"not smooth, missing periods of data",0.3562053270327211,WestConnectNonEnrolled,West,
10418,39.4,-115.2,GIC,measured,NERC,high cadence,0.4612294356878539,NorthernGridConnected,West,
10420,39.5,-75.5,GIC,measured,NERC,no values below zero,2.175188946991257,PJM,East,
10421,39.5,-75.5,GIC,measured,NERC,no values below zero,2.175188946991257,PJM,East,
10425,36.8,-78.7,GIC,measured,NERC,"no values below zero, noisy",2.1019543813075523,PJM,East,
10426,38.1,-78.8,GIC,measured,NERC,high cadence,2.24051517483117,PJM,East,
10427,39.0,-77.5,GIC,measured,NERC,"high cadence, a bit noisy",2.793857275758007,PJM,East,
10428,36.7,-76.5,GIC,measured,NERC,,1.305214367144753,PJM,East,
10429,36.7,-76.3,GIC,measured,NERC,no values below zero,0.7578720845612434,PJM,East,
10438,43.2,-75.2,GIC,measured,NERC,,0.5913986068916508,NYISO,East,
10441,34.2,-81.6,GIC,measured,NERC,not centered at zero,1.7050957343971544,SCRTP,East,
10442,33.8,-78.9,GIC,measured,NERC,not centered at zero,0.9210879549517226,SCRTP,East,
10445,41.1,-74.2,GIC,measured,NERC,no data available,2.4943337505101617,NYISO,East,
10446,37.0,-121.0,GIC,measured,NERC,not smooth,0.698922467190616,CAISO,West,
10447,37.0,-121.0,GIC,measured,NERC,not smooth,0.698922467190616,CAISO,West,
10448,37.0,-120.0,GIC,measured,NERC,not smooth,0.5721220770222946,CAISO,West,
10449,37.0,-120.0,GIC,measured,NERC,not smooth,0.5721220770222946,CAISO,West,
10584,40.0,-104.0,GIC,measured,NERC,not centered at zero,0.3594216977007461,WestConnectNonEnrolled,West,
10585,33.1,-80.1,GIC,measured,NERC,"not smooth, not centered at zero",0.903367798180872,SCRTP,East,
10588,36.9,-81.7,GIC,measured,NERC,high cadence,1.344938411660415,PJM,East,
10589,36.9,-81.7,GIC,measured,NERC,high cadence,1.344938411660415,PJM,East,
10593,37.0,-84.5,GIC,measured,NERC,"not centered at zero, missing periods of data",0.4758607201486001,PJM,East,
10628,48.0,-66.4,GIC,measured,NERC,no values below zero,1.3344079242092903,,,
10635,43.7,-87.7,GIC,measured,NERC,one weird peak,1.3986159376354528,MISO,Central,
10636,43.7,-87.7,GIC,measured,NERC,one weird peak,1.3986159376354528,MISO,Central,
10637,40.1,-104.8,GIC,measured,NERC,"not smooth, values too low",1.2382724793697353,WestConnect,West,
10648,32.8,-115.5,GIC,measured,NERC,no data available,1.0896628213431034,WestConnect,West,
10649,42.8,-74.0,GIC,measured,NERC,"noisy, not centered on zero",1.7507451747730551,NYISO,East,
10658,43.1,-78.7,GIC,measured,NERC,values too high,0.7601303754311045,NYISO,East,
10659,42.5,-87.9,GIC,measured,NERC,,1.4085185528992998,MISO,Central,
10674,41.7,-72.6,GIC,measured,NERC,no data available,3.2596497933952056,ISONE,East,
10675,47.9,-65.9,GIC,measured,NERC,noisy,1.358741267118803,,,
10676,46.1,-66.8,GIC,measured,NERC,a few peaks,1.7878719113419783,,,
10677,45.2,-66.2,GIC,measured,NERC,noisy,2.3574003177808254,,,
10678,31.5,-87.9,GIC,measured,NERC,"values all below zero, not centered",0.1838295000939585,SERTP,East,
10694,32.0,-106.2,GIC,measured,NERC,"values too low, not centered on zero, not smooth",0.3655362467058836,WestConnect,West,
10702,41.7,-85.9,GIC,measured,NERC,not centered at zero,0.6046347552238722,PJM,East,
10646,41.0,-81.6,GIC,measured,NERC,noisy,0.6117421374360327,PJM,East,
10647,40.2,-74.5,GIC,measured,NERC,high cadence,2.9734133513883285,PJM,East,
10660,36.2,-88.6,GIC,measured,NERC,,0.9314245148534188,SERTP,East,
10661,36.0,-87.9,GIC,measured,NERC,noisy,1.0497657761486834,SERTP,East,
10691,37.2,-86.9,GIC,measured,NERC,"not smooth, very noisy",0.6880772749551748,SERTP,East,
10692,37.2,-86.9,GIC,measured,NERC,missing some periods of data,0.6880772749551748,SERTP,East,
10693,36.0,-84.1,GIC,measured,NERC,,0.5592615251552008,SERTP,East,
10696,40.4,-85.9,GIC,measured,NERC,not centered at zero,0.6860433507730741,MISO,Central,
10697,36.8,-80.8,GIC,measured,NERC,high cadence,1.5739338390000075,PJM,East,
10698,26.1,-98.1,GIC,measured,NERC,"not smooth, not centered at zero",,ERCOT,ERCOT,
10699,37.6,-81.6,GIC,measured,NERC,not centered at zero,0.8329471584712761,PJM,East,
10700,37.6,-81.6,GIC,measured,NERC,not smooth,0.8329471584712761,PJM,East,
10086,27.7,-82.0,GIC,measured,NERC,no data available,0.3651553433744837,FRCC,East,
10087,27.9,-82.4,GIC,measured,NERC,no data available,0.505614521871141,FRCC,East,
10088,27.9,-82.4,GIC,measured,NERC,no data available,0.505614521871141,FRCC,East,
10089,27.8,-82.4,GIC,measured,NERC,no data available,0.4850123295363409,FRCC,East,
10090,27.8,-82.1,GIC,measured,NERC,no data available,0.3727310104831341,FRCC,East,
10091,27.7,-82.3,GIC,measured,NERC,no data available,0.4232283596543554,FRCC,East,
10180,41.7,-73.8,GIC,measured,NERC,not smooth,3.145835293715519,NYISO,East,
10181,41.9,-74.0,GIC,measured,NERC,,2.89686190112345,NYISO,East,
10182,26.6,-98.5,GIC,measured,NERC,,0.0771152934542634,ERCOT,ERCOT,
10184,39.0,-78.2,GIC,measured,NERC,,2.098515690648496,PJM,East,
10185,39.3,-81.3,GIC,measured,NERC,,0.458449579058219,PJM,East,
10186,42.0,-80.0,GIC,measured,NERC,,0.5616616324596242,PJM,East,
10187,41.0,-81.6,GIC,measured,NERC,,0.6117421374360327,PJM,East,
10191,41.3,-90.5,GIC,measured,NERC,noisy,1.4474025826441173,MISO,Central,
10193,41.6,-71.4,GIC,measured,NERC,low cadence,1.895916683083308,ISONE,East,
10194,42.6,-73.9,GIC,measured,NERC,low cadence,2.1945295536401264,NYISO,East,
