site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2024-08-12,,,,42.61878522398007,80.86333307452443,0.13444568665004986,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2024-08-12,,,,42.62091001981623,80.86124081351595,0.134478542672142,,,
CHI line,40.167025333333335,-3.4283451666666664,DMM,measured,Marsal,2024-08-17,,,,42.845538164843425,77.01305051979422,0.13799768214383656,,,
CHI ref,40.169217,-3.4229776666666667,DMM,measured,Marsal,2024-08-17,,,,42.84684937212234,77.0191359915107,0.1380184922227705,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2024-08-17,,,,42.46393303222358,80.42204475703844,0.1320726696437369,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2024-08-17,,,,42.46414785470704,80.42493518940148,0.13207593248461277,,,
MAS line,41.175077,0.3272508333333333,DMM,measured,Marsal,2024-08-17,,,,43.243572236635146,81.11152909778153,0.14446117801692376,,,
MAS ref,41.173462666666666,0.3259615,DMM,measured,Marsal,2024-08-17,,,,43.24219698109889,81.1097622217218,0.14443833265451184,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2024-08-17,,,,43.76794862364006,82.32906389532381,0.1534406875022692,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2024-08-17,,,,43.76926320374748,82.33153984707532,0.1534638859144326,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2024-08-17,,,,42.618681505432285,80.86249886215312,0.1344440830408054,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2024-08-17,,,,42.62080627309707,80.86040655179708,0.13447693823533913,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2023-05-09,,,,42.47279882539858,80.48930463964692,0.13220739514476082,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2023-05-09,,,,42.47301049274991,80.49219590911133,0.1322106133426819,,,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal,2023-05-09,,,,39.60906586876025,77.5174071445829,0.09511080448307555,,,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal,2023-05-09,,,,39.60694208935613,77.51463351800759,0.09508757796726876,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2023-05-09,,,,43.774726940010126,82.3992429450806,0.15356034212723435,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2023-05-09,,,,43.7760388048914,82.40172193778245,0.15358351067314474,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2023-05-09,,,,42.62706611967351,80.9301304711604,0.1345737806638983,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2023-05-09,,,,42.629193171146404,80.9280421692545,0.13460670290651733,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2022-07-23,,,,42.47826969120923,80.530991607446,0.13229059954159286,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2022-07-23,,,,42.47847939974053,80.53388339201062,0.13229378996380703,,,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal,2022-07-23,,,,39.616542971600886,77.5554042986934,0.0951926222798723,,,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal,2022-07-23,,,,39.614421055769185,77.55262797026272,0.0951693961795959,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2022-07-23,,,,43.77890053732566,82.4427391747737,0.15363406320618242,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2022-07-23,,,,43.78021071525429,82.44522005117953,0.15365721306538893,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2022-07-23,,,,42.63223811894518,80.97204752948316,0.1346538462542323,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2022-07-23,,,,42.63436658574494,80.96996171978019,0.13468681000613655,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2023-04-24,,,,42.47308297929249,80.49146637443535,0.13221171544865473,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2023-04-24,,,,42.47329454512832,80.49435767068134,0.13221493220822625,,,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal,2023-04-24,,,,39.60945394262129,77.51937758268198,0.09511504922976231,,,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal,2023-04-24,,,,39.60733025975914,77.51660381602125,0.0950918227331083,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2023-04-24,,,,43.77494388741902,82.40149850221866,0.15356417334463504,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2023-04-24,,,,43.77625566489764,82.40397759262274,0.15358734092483026,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2023-04-24,,,,42.62733478736946,80.93230414335227,0.13457793862530437,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2023-04-24,,,,42.6294619122393,80.93021597053641,0.13461086302133335,,,
