site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
10213,30.5,-97.5,GIC,measured,NERC,,0.4236653335317851,-0.3729770707448052,39.174769227809776,-27.884299814791486,0.09047725210895845,,ERCOT,ERCOT
10214,32.6,-97.2,GIC,measured,NERC,,0.6969613331851104,-0.15679131551770836,41.28938847873432,-27.804293830668048,0.11538561293804461,,ERCOT,ERCOT
10215,40.6,-74.1,GIC,measured,NERC,,2.65887108039173,0.4246972803809019,50.27177703328671,-1.7633059089456873,0.3241655554263663,,NYISO,East
10218,42.6,-96.3,GIC,measured,NERC,,1.4552467820579302,0.16293664761606325,51.31031792930688,-28.230684054417182,0.3652881747250304,345.0,MISO,Central
10219,36.1,-81.0,GIC,measured,NERC,,2.7564328346317017,0.4403474145899267,45.656516152789024,-9.703911848366022,0.19066145293107764,,SERTP,East
10220,39.4,-87.4,GIC,measured,NERC,,0.4903456338448295,-0.30949768740899875,48.70095220063349,-17.383864841076754,0.2705912833935592,,MISO,Central
10221,38.9,-84.6,GIC,measured,NERC,,0.846515101823899,-0.07236528967520824,48.329340446962405,-14.067111793410465,0.2592710789943469,138.0,PJM,East
10273,42.9,-82.5,GIC,measured,NERC,,0.6159649281559347,-0.2104440150140903,52.403653503571874,-11.894546681968949,0.414229493725815,,MISO,Central
10276,42.6,-84.0,GIC,measured,NERC,,0.6573630712803762,-0.18219469695294935,52.04826958277427,-13.665670499890004,0.3976415622014341,,MISO,Central
10324,28.9,-95.3,GIC,measured,NERC,,0.050208675317364865,-1.299221236700696,37.746199987162825,-25.27599585144513,0.07676992781196829,,ERCOT,ERCOT
10325,29.8,-95.2,GIC,measured,NERC,,0.06687295847063161,-1.1747494631161035,38.65032038580544,-25.25971996585944,0.08518171893888848,,ERCOT,ERCOT
10326,29.4,-94.9,GIC,measured,NERC,,0.05207006605437056,-1.2834118713922844,38.27303135986131,-24.88586482851732,0.08156486607003609,,ERCOT,ERCOT
10327,36.7,-83.7,GIC,measured,NERC,,0.527466012355076,-0.2778055192002973,46.16725340822744,-12.860132109979528,0.2021953161639983,,SERTP,East
10376,40.9,-73.9,GIC,measured,NERC,,2.403237240915885,0.38079664526704854,50.572736450363315,-1.5285032198563508,0.33558144760471287,345.0,NYISO,East
10377,40.7,-74.0,GIC,measured,NERC,,2.5535429490860757,0.4071431668299854,50.37227475769721,-1.6455093445507611,0.32793374700249056,,NYISO,East
10378,40.7,-74.0,GIC,measured,NERC,,2.5535429490860757,0.4071431668299854,50.37227475769721,-1.6455093445507611,0.32793374700249056,,NYISO,East
10379,40.7,-74.0,GIC,measured,NERC,,2.5535429490860757,0.4071431668299854,50.37227475769721,-1.6455093445507611,0.32793374700249056,,NYISO,East
10380,41.1,-73.8,GIC,measured,NERC,,2.2529315327456834,0.35274799358687425,50.77316431032253,-1.4112207331461428,0.34340616313192956,,NYISO,East
10382,40.6,-74.2,GIC,measured,NERC,,2.719221634832854,0.434444606948329,50.27124245733076,-1.8820968259496529,0.32414562756107457,,PJM,East
10383,40.6,-74.2,GIC,measured,NERC,,2.719221634832854,0.434444606948329,50.27124245733076,-1.8820968259496529,0.32414562756107457,,PJM,East
10388,41.0,-73.9,GIC,measured,NERC,,2.358259664051346,0.3725916228353744,50.6727346876325,-1.5294391143501247,0.3394628410695228,,NYISO,East
10431,39.6,-75.7,GIC,measured,NERC,,2.3091290131355544,0.36344819802225226,49.259144606343156,-3.6420133331549116,0.2885307395184308,138.0,PJM,East
10432,38.5,-76.6,GIC,measured,NERC,,0.9920645909046397,-0.003460051071360802,48.148309349389194,-4.674824235817834,0.2539292221360148,,PJM,East
10433,38.5,-76.6,GIC,measured,NERC,,0.9920645909046397,-0.003460051071360802,48.148309349389194,-4.674824235817834,0.2539292221360148,,PJM,East
10434,39.5,-75.1,GIC,measured,NERC,,2.1973806720954783,0.3419053001928759,49.16493429736726,-2.931951495059579,0.28542161677330175,,PJM,East
10435,39.4,-74.6,GIC,measured,NERC,,1.5563786944062044,0.1921152770243088,49.06880443660172,-2.3405669048416122,0.2822836764602748,,PJM,East
10436,39.4,-74.6,GIC,measured,NERC,,1.5563786944062044,0.1921152770243088,49.06880443660172,-2.3405669048416122,0.2822836764602748,,PJM,East
10477,31.4,-95.4,GIC,measured,NERC,,0.15003012499331286,-0.8238215289124776,40.23022550047669,-25.655761611016345,0.10215343345109601,,ERCOT,ERCOT
10540,34.1,-99.2,GIC,measured,NERC,,0.5258876127420405,-0.2791070588521382,42.61917517107531,-30.237000226766607,0.13445171585630786,138.0,ERCOT,ERCOT
Bradley,35.0425,-84.9587,GIC,measured,TVA,,1.0815509992037882,0.034047002878745763,44.46221812395341,-14.194571545559292,0.1661938842572183,500.0,SERTP,East
Meadowview,0.0,0.0,GIC,measured,TVA,x unknown lat/lon,,,2.8783579555655905,72.84841958398046,0.001392375337938958,,,
Montgomery,36.5949,-87.2533,GIC,measured,TVA,,1.0349744841285202,0.014929642992181141,45.908696833293774,-16.95308283002384,0.19627174161561659,500.0,SERTP,East
Raccoon Mountain,35.0571,-85.3872,GIC,measured,TVA,,0.9440325305561166,-0.025013040026512386,44.45883956138142,-14.686464905121507,0.16612932470958228,500.0,SERTP,East
