site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha
10255,45.7,94.7,GIC,measured,NERC,,,,36.71833587372194,168.99347072579246,0.06821118985275303
10265,43.6,116.3,GIC,measured,NERC,,,,34.522676624599356,-172.14731322595685,0.05299024350679178
10266,42.8,114.4,GIC,measured,NERC,,,,33.68588513476592,-173.79353167772285,0.04812860940880996
10297,46.8,92.3,GIC,measured,NERC,,,,37.896734916058094,166.97579739644044,0.07811050191495134
10298,43.4,88.0,GIC,measured,NERC,,,,34.68019645021319,162.9706407678761,0.05395889709234205
10299,46.6,87.4,GIC,measured,NERC,,,,37.901325648145836,162.7098983272932,0.07815175000669829
10300,46.6,87.4,GIC,measured,NERC,,,,37.901325648145836,162.7098983272932,0.07815175000669829
10301,44.0,88.6,GIC,measured,NERC,,,,35.25142620848364,163.54540990940166,0.0576225517189746
10302,44.2,88.1,GIC,measured,NERC,,,,35.47388517818436,163.12162590488515,0.05911571506977642
10303,44.8,89.7,GIC,measured,NERC,,,,36.00175021886622,164.5707983959415,0.06281546336995088
10304,44.8,89.7,GIC,measured,NERC,,,,36.00175021886622,164.5707983959415,0.06281546336995088
10306,44.8,88.2,GIC,measured,NERC,,,,36.068018448588305,163.2571615648646,0.0632959990877406
10307,44.4,88.4,GIC,measured,NERC,,,,35.659696334839744,163.40080902980458,0.06039250926790841
10308,42.5,89.1,GIC,measured,NERC,,,,33.731894569915525,163.8746487928441,0.048383936858109204
10309,45.8,88.0,GIC,measured,NERC,,,,37.075083699962605,163.16391227589142,0.07106781951039592
10310,43.0,89.0,GIC,measured,NERC,,,,34.23541707366081,163.82267528362638,0.05126831722703338
10311,43.0,89.0,GIC,measured,NERC,,,,34.23541707366081,163.82267528362638,0.05126831722703338
10312,43.0,89.0,GIC,measured,NERC,,,,34.23541707366081,163.82267528362638,0.05126831722703338
10313,44.5,89.6,GIC,measured,NERC,,,,35.70654454639694,164.46103478435418,0.06071875463028666
10314,44.5,89.6,GIC,measured,NERC,,,,35.70654454639694,164.46103478435418,0.06071875463028666
10315,44.5,89.6,GIC,measured,NERC,,,,35.70654454639694,164.46103478435418,0.06071875463028666
10316,43.7,88.5,GIC,measured,NERC,,,,34.95655026534529,163.43439409632958,0.055701288555392324
10317,43.7,88.5,GIC,measured,NERC,,,,34.95655026534529,163.43439409632958,0.055701288555392324
10318,44.4,88.7,GIC,measured,NERC,,,,35.64613659549459,163.66406549846064,0.06029840838735451
10321,43.1,88.0,GIC,measured,NERC,,,,34.3808144371672,162.94727887668407,0.052132766169081246
10322,43.3,89.4,GIC,measured,NERC,,,,34.51730384386768,164.19749677984603,0.052957512549250706
10336,44.8,91.5,GIC,measured,NERC,,,,35.92920631280931,166.14628534278913,0.06229360212972874
10338,44.8,91.5,GIC,measured,NERC,,,,35.92920631280931,166.14628534278913,0.06229360212972874
10339,43.7,95.7,GIC,measured,NERC,,,,34.69065849867485,169.76612241873565,0.05402385603028725
10340,43.7,95.7,GIC,measured,NERC,,,,34.69065849867485,169.76612241873565,0.05402385603028725
10341,45.0,93.5,GIC,measured,NERC,,,,36.057364932938356,167.90747997748062,0.06321849920665187
10342,45.0,93.5,GIC,measured,NERC,,,,36.057364932938356,167.90747997748062,0.06321849920665187
10343,47.9,97.1,GIC,measured,NERC,,,,38.850717998085564,171.18196036827106,0.08716758845406963
10344,47.9,97.1,GIC,measured,NERC,,,,38.850717998085564,171.18196036827106,0.08716758845406963
10345,47.9,97.1,GIC,measured,NERC,,,,38.850717998085564,171.18196036827106,0.08716758845406963
10347,47.9,97.1,GIC,measured,NERC,,,,38.850717998085564,171.18196036827106,0.08716758845406963
10348,45.5,94.3,GIC,measured,NERC,,,,36.53090444157046,168.6340794766916,0.06675665620799269
10349,44.8,93.6,GIC,measured,NERC,,,,35.85425607648585,167.98327445592028,0.06175898362894395
10350,44.8,93.6,GIC,measured,NERC,,,,35.85425607648585,167.98327445592028,0.06175898362894395
10351,44.8,93.6,GIC,measured,NERC,,,,35.85425607648585,167.98327445592028,0.06175898362894395
10352,44.8,93.6,GIC,measured,NERC,,,,35.85425607648585,167.98327445592028,0.06175898362894395
10353,45.4,93.9,GIC,measured,NERC,,,,36.44377040671764,168.2797582989327,0.06609106718302321
10354,45.9,91.5,GIC,measured,NERC,,,,37.02759021969641,166.22041682635748,0.07068072290556152
10355,44.2,94.0,GIC,measured,NERC,,,,35.24178308024778,168.2996752752431,0.05755868604736628
10356,44.2,94.0,GIC,measured,NERC,,,,35.24178308024778,168.2996752752431,0.05755868604736628
10357,47.7,117.5,GIC,measured,NERC,,,,38.64804972244543,-171.27175432829523,0.08515947865684015
10358,38.7,121.2,GIC,measured,NERC,,,,29.763382962846478,-167.57890683824274,0.030654793371058017
10389,38.3,87.4,GIC,measured,NERC,,,,29.619202041031194,162.05367128692697,0.030150702851285845
10397,39.1,78.3,GIC,measured,NERC,,,,30.960211227104637,153.92546847825,0.035178119742840734
10398,41.1,74.2,GIC,measured,NERC,,,,33.255630832505624,150.47040431577562,0.04580519651628356
10586,34.0,118.5,GIC,measured,NERC,,,,24.982535456800193,-169.8196209252495,0.017689859707540518
10587,46.4,117.0,GIC,measured,NERC,,,,37.3369946212478,-171.64642180183967,0.07324092734417842
10591,35.8,106.1,GIC,measured,NERC,,,,26.62712691150263,178.8590507931032,0.021372810884606058
10592,43.2,84.5,GIC,measured,NERC,,,,34.65849637092233,159.86422979310277,0.05382441004924176
10605,45.3,122.6,GIC,measured,NERC,,,,36.405495371932304,-166.7166215925635,0.06580079812205449
10606,41.3,72.9,GIC,measured,NERC,,,,33.55844923986014,149.3307732769056,0.04742842168365781
10607,41.3,72.9,GIC,measured,NERC,,,,33.55844923986014,149.3307732769056,0.04742842168365781
10608,41.2,73.2,GIC,measured,NERC,,,,33.434724172828005,149.586747116427,0.046758370127774646
10609,41.2,73.2,GIC,measured,NERC,,,,33.434724172828005,149.586747116427,0.046758370127774646
10611,39.6,92.6,GIC,measured,NERC,,,,30.69479371372948,166.80589865210067,0.03412059896327589
10612,30.5,87.2,GIC,measured,NERC,,,,21.84363796123816,161.3439159317562,0.012329790988126
10618,38.3,86.2,GIC,measured,NERC,,,,29.679872276195177,160.97231440658237,0.03036180219986317
10619,38.3,86.2,GIC,measured,NERC,,,,29.679872276195177,160.97231440658237,0.03036180219986317
10620,39.1,87.5,GIC,measured,NERC,,,,30.412734410210795,162.2015568797799,0.033031592671391295
10621,39.1,87.5,GIC,measured,NERC,,,,30.412734410210795,162.2015568797799,0.033031592671391295
10622,39.3,86.5,GIC,measured,NERC,,,,30.662225637071366,161.318639797147,0.03399304511542628
10623,39.3,86.5,GIC,measured,NERC,,,,30.662225637071366,161.318639797147,0.03399304511542628
10642,42.2,86.3,GIC,measured,NERC,,,,33.565841889501705,161.37082836188677,0.04746876032429523
10643,40.5,85.9,GIC,measured,NERC,,,,31.890495479942516,160.87585282289905,0.03915025673701181
10644,37.7,81.7,GIC,measured,NERC,,,,29.33951121613596,156.85852377621123,0.02919635258079835
10664,36.3,115.3,GIC,measured,NERC,,,,27.204514763420427,-172.8069559759138,0.02284013276943242
10665,31.0,86.0,GIC,measured,NERC,,,,22.40561606094407,160.26565750608486,0.013152947092452311
10701,41.8,83.3,GIC,measured,NERC,,,,33.33033558367434,158.67100221536103,0.04620040628619681
10707,38.3,82.7,GIC,measured,NERC,,,,29.87625000209325,157.81591838057994,0.031055277143182455
10708,38.3,82.7,GIC,measured,NERC,,,,29.87625000209325,157.81591838057994,0.031055277143182455
10715,41.9,72.8,GIC,measured,NERC,,,,34.16302317564126,149.31985471683728,0.05084326499256761
10728,36.2,86.4,GIC,measured,NERC,,,,27.573960691829328,160.99710485372273,0.02383143433392161
10063,33.4,112.5,GIC,measured,NERC,,,,24.258798205284393,-175.29205751342698,0.016277142020673027
10077,42.3,87.9,GIC,measured,NERC,,,,33.587145052254094,162.79718184485026,0.04758519488404873
10078,42.1,87.8,GIC,measured,NERC,,,,33.392282645280844,162.6932254491012,0.04653070904586227
10079,41.5,87.6,GIC,measured,NERC,,,,32.80305986285751,162.46976075079277,0.04348220979565193
10080,42.0,87.9,GIC,measured,NERC,,,,33.287753333664824,162.77430012063033,0.045974717846823006
10082,41.6,87.7,GIC,measured,NERC,,,,32.89806491179298,162.5662799790861,0.04395988286085721
10083,40.8,88.6,GIC,measured,NERC,,,,32.057506322430996,163.30846834258256,0.039909453556776144
10084,41.2,87.9,GIC,measured,NERC,,,,32.489355264749584,162.71403951434058,0.04194150273596498
10085,41.2,87.9,GIC,measured,NERC,,,,32.489355264749584,162.71403951434058,0.04194150273596498
10102,42.9,71.3,GIC,measured,NERC,,,,35.28090597962284,148.11712128238804,0.057818233687756036
10107,34.5,118.1,GIC,measured,NERC,,,,25.471193097442608,-170.20340225182227,0.018712414979203767
10111,43.4,123.0,GIC,measured,NERC,,,,34.52298872909914,-166.24430342568638,0.05299214546767016
10112,47.7,117.4,GIC,measured,NERC,,,,38.64564197099032,-171.35787122262258,0.08513590199233377
10113,45.6,121.1,GIC,measured,NERC,,,,36.65287172388735,-168.04308745352955,0.06769959842705185
10114,46.5,116.9,GIC,measured,NERC,,,,37.43463471996143,-171.73729440325724,0.07406795575327102
10115,47.6,114.6,GIC,measured,NERC,,,,38.487894068249524,-173.7651950264338,0.08360537546538543
10116,47.9,121.9,GIC,measured,NERC,,,,38.977099290377325,-167.49376335724796,0.08844372007725992
10117,45.3,122.8,GIC,measured,NERC,,,,36.412869838669174,-166.54206178367835,0.06585662505776285
10118,45.7,122.6,GIC,measured,NERC,,,,36.80494962680046,-166.7426415550235,0.06889400796297242
10119,47.5,120.3,GIC,measured,NERC,,,,38.525273818053655,-168.84797424685001,0.0839655410494654
10120,47.8,122.2,GIC,measured,NERC,,,,38.887700874835275,-167.22862411271305,0.08753910436912486
10121,46.9,119.9,GIC,measured,NERC,,,,37.913709520770894,-169.15936461480163,0.07826312874914615
10231,45.0,92.8,GIC,measured,NERC,,,,36.08132905826468,167.2958376054425,0.06339296173901038
10234,30.8,88.1,GIC,measured,NERC,,,,22.098241596166233,162.19616918369164,0.012696137121793752
10235,33.3,87.4,GIC,measured,NERC,,,,24.628569233075197,161.70976050181048,0.016984233317649925
10236,33.7,86.6,GIC,measured,NERC,,,,25.06859932458552,161.00291270580564,0.017865811640606917
10240,40.8,73.6,GIC,measured,NERC,,,,33.00485821454844,149.8946477611836,0.04450309310228156
10257,47.4,101.2,GIC,measured,NERC,,,,38.270557807406924,174.69384477051847,0.08154166754761558
10258,47.4,101.2,GIC,measured,NERC,,,,38.270557807406924,174.69384477051847,0.08154166754761558
10259,47.4,101.2,GIC,measured,NERC,,,,38.270557807406924,174.69384477051847,0.08154166754761558
10260,47.4,101.2,GIC,measured,NERC,,,,38.270557807406924,174.69384477051847,0.08154166754761558
10261,45.1,93.8,GIC,measured,NERC,,,,36.147344012118985,168.17530233750196,0.06387605476826805
10262,45.1,93.8,GIC,measured,NERC,,,,36.147344012118985,168.17530233750196,0.06387605476826805
10263,45.1,93.8,GIC,measured,NERC,,,,36.147344012118985,168.17530233750196,0.06387605476826805
10264,45.1,93.8,GIC,measured,NERC,,,,36.147344012118985,168.17530233750196,0.06387605476826805
10291,43.4,72.7,GIC,measured,NERC,,,,35.66196931359751,149.43274828839918,0.060408297483709406
10292,44.1,72.5,GIC,measured,NERC,,,,36.373771047458966,149.35252999909153,0.06556117462164847
10293,43.0,72.7,GIC,measured,NERC,,,,35.26445574864263,149.3780750240025,0.05770895790364092
10294,44.1,73.2,GIC,measured,NERC,,,,36.31739627831888,149.97269551400464,0.0651375098860063
10295,42.8,72.5,GIC,measured,NERC,,,,35.08198907740443,149.1727431745873,0.05651062897447921
10296,43.6,73.1,GIC,measured,NERC,,,,35.82847871446829,149.81541652097926,0.06157617659602402
10333,44.4,96.5,GIC,measured,NERC,,,,35.368295155284585,170.50028679628625,0.058402222338858195
10334,44.4,96.5,GIC,measured,NERC,,,,35.368295155284585,170.50028679628625,0.058402222338858195
10335,45.1,93.5,GIC,measured,NERC,,,,36.15725315284303,167.9133307129463,0.06394888629180454
10346,47.9,97.1,GIC,measured,NERC,,,,38.850717998085564,171.18196036827106,0.08716758845406963
10359,33.7,111.9,GIC,measured,NERC,,,,24.551374380071167,-175.84597265791209,0.016834124621196357
10360,40.2,75.3,GIC,measured,NERC,,,,32.27506673824493,151.34831610658816,0.040920561991558364
10361,40.2,75.3,GIC,measured,NERC,,,,32.27506673824493,151.34831610658816,0.040920561991558364
10362,39.8,76.3,GIC,measured,NERC,,,,31.801600601917315,152.2011540091179,0.03875206595013995
10363,40.2,75.6,GIC,measured,NERC,,,,32.25222975353155,151.6179444409856,0.04081323522827989
10364,40.2,75.6,GIC,measured,NERC,,,,32.25222975353155,151.6179444409856,0.04081323522827989
10399,39.1,78.3,GIC,measured,NERC,,,,30.960211227104637,153.92546847825,0.035178119742840734
10400,39.1,78.3,GIC,measured,NERC,,,,30.960211227104637,153.92546847825,0.035178119742840734
10401,39.1,78.3,GIC,measured,NERC,,,,30.960211227104637,153.92546847825,0.035178119742840734
10402,39.5,78.9,GIC,measured,NERC,,,,31.316988631018305,154.5076312100018,0.03665147571390145
10403,39.5,78.9,GIC,measured,NERC,,,,31.316988631018305,154.5076312100018,0.03665147571390145
10404,39.5,77.9,GIC,measured,NERC,,,,31.386740947363272,153.60777840033936,0.03694665845047186
10405,39.5,77.9,GIC,measured,NERC,,,,31.386740947363272,153.60777840033936,0.03694665845047186
10406,39.5,77.9,GIC,measured,NERC,,,,31.386740947363272,153.60777840033936,0.03694665845047186
10407,39.5,77.9,GIC,measured,NERC,,,,31.386740947363272,153.60777840033936,0.03694665845047186
10409,39.3,77.5,GIC,measured,NERC,,,,31.216136257548627,153.22596352449239,0.03622884662584248
10410,39.3,77.5,GIC,measured,NERC,,,,31.216136257548627,153.22596352449239,0.03622884662584248
10411,39.3,77.5,GIC,measured,NERC,,,,31.216136257548627,153.22596352449239,0.03622884662584248
10412,39.3,77.5,GIC,measured,NERC,,,,31.216136257548627,153.22596352449239,0.03622884662584248
10413,39.3,77.5,GIC,measured,NERC,,,,31.216136257548627,153.22596352449239,0.03622884662584248
10414,39.4,77.4,GIC,measured,NERC,,,,31.322895298357935,153.14676681003274,0.03667638029994547
10415,44.1,103.2,GIC,measured,NERC,,,,34.94619000084113,176.35833305620156,0.05563496386435968
10416,44.1,103.2,GIC,measured,NERC,,,,34.94619000084113,176.35833305620156,0.05563496386435968
10418,39.4,115.2,GIC,measured,NERC,,,,30.30157562388925,-172.98533420680866,0.03261202863160707
