site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error
10403,39.5,-78.9,GIC,measured,NERC,2021-05-12,
10404,39.5,-77.9,GIC,measured,NERC,2021-05-12,
10405,39.5,-77.9,GIC,measured,NERC,2021-05-12,
10406,39.5,-77.9,GIC,measured,NERC,2021-05-12,
10407,39.5,-77.9,GIC,measured,NERC,2021-05-12,
10408,39.7,-80.0,GIC,measured,NERC,2021-05-12,
10409,39.3,-77.5,GIC,measured,NERC,2021-05-12,
10410,39.3,-77.5,GIC,measured,NERC,2021-05-12,
10411,39.3,-77.5,GIC,measured,NERC,2021-05-12,
10412,39.3,-77.5,GIC,measured,NERC,2021-05-12,
10413,39.3,-77.5,GIC,measured,NERC,2021-05-12,
10414,39.4,-77.4,GIC,measured,NERC,2021-05-12,
10417,41.2,-73.2,GIC,measured,NERC,2021-05-12,
10420,39.5,-75.5,GIC,measured,NERC,2021-05-12,
10421,39.5,-75.5,GIC,measured,NERC,2021-05-12,
10422,41.2,-73.2,GIC,measured,NERC,2021-05-12,
10423,40.6,-74.2,GIC,measured,NERC,2021-05-12,
10424,40.6,-74.2,GIC,measured,NERC,2021-05-12,
10425,36.8,-78.7,GIC,measured,NERC,2021-05-12,
10426,38.1,-78.8,GIC,measured,NERC,2021-05-12,
10427,39.0,-77.5,GIC,measured,NERC,2021-05-12,
10428,36.7,-76.5,GIC,measured,NERC,2021-05-12,
10429,36.7,-76.3,GIC,measured,NERC,2021-05-12,
10441,34.2,-81.6,GIC,measured,NERC,2021-05-12,
10442,33.8,-78.9,GIC,measured,NERC,2021-05-12,
10086,27.7,-82.0,GIC,measured,NERC,2021-05-12,
10087,27.9,-82.4,GIC,measured,NERC,2021-05-12,
10088,27.9,-82.4,GIC,measured,NERC,2021-05-12,
10089,27.8,-82.4,GIC,measured,NERC,2021-05-12,
10090,27.8,-82.1,GIC,measured,NERC,2021-05-12,
10091,27.7,-82.3,GIC,measured,NERC,2021-05-12,
10180,41.7,-73.8,GIC,measured,NERC,2021-05-12,
10181,41.9,-74.0,GIC,measured,NERC,2021-05-12,
10182,26.6,-98.5,GIC,measured,NERC,2021-05-12,
10183,41.1,-76.7,GIC,measured,NERC,2021-05-12,
10188,40.2,-74.5,GIC,measured,NERC,2021-05-12,
10191,41.3,-90.5,GIC,measured,NERC,2021-05-12,
10192,41.1,-95.7,GIC,measured,NERC,2021-05-12,
10193,41.6,-71.4,GIC,measured,NERC,2021-05-12,
10194,42.6,-73.9,GIC,measured,NERC,2021-05-12,
10195,39.7,-74.9,GIC,measured,NERC,2021-05-12,
10196,33.3,-111.9,GIC,measured,NERC,2021-05-12,
10197,36.4,-82.2,GIC,measured,NERC,2021-05-12,
10199,35.0,-84.9,GIC,measured,NERC,2021-05-12,
10201,36.5,-87.2,GIC,measured,NERC,2021-05-12,
10202,34.9,-90.0,GIC,measured,NERC,2021-05-12,
10203,35.0,-85.3,GIC,measured,NERC,2021-05-12,
10204,35.3,-89.8,GIC,measured,NERC,2021-05-12,
10205,36.2,-88.8,GIC,measured,NERC,2021-05-12,
10206,34.8,-85.7,GIC,measured,NERC,2021-05-12,
10207,36.0,-84.1,GIC,measured,NERC,2021-05-12,
10208,35.8,-86.5,GIC,measured,NERC,2021-05-12,
10209,34.8,-85.7,GIC,measured,NERC,2021-05-12,
10210,34.7,-86.5,GIC,measured,NERC,2021-05-12,
10211,34.3,-88.8,GIC,measured,NERC,2021-05-12,
10212,36.0,-86.6,GIC,measured,NERC,2021-05-12,
10216,40.9,-73.8,GIC,measured,NERC,2021-05-12,
10219,36.1,-81.0,GIC,measured,NERC,2021-05-12,
10220,39.4,-87.4,GIC,measured,NERC,2021-05-12,
10248,32.8,-80.6,GIC,measured,NERC,2021-05-12,
10249,33.3,-81.0,GIC,measured,NERC,2021-05-12,
10250,34.1,-80.9,GIC,measured,NERC,2021-05-12,
10251,35.9,-82.3,GIC,measured,NERC,2021-05-12,
10252,36.4,-79.0,GIC,measured,NERC,2021-05-12,
10267,42.4,-85.6,GIC,measured,NERC,2021-05-12,
10268,43.0,-83.9,GIC,measured,NERC,2021-05-12,
10269,43.0,-83.7,GIC,measured,NERC,2021-05-12,
10271,42.7,-84.8,GIC,measured,NERC,2021-05-12,
10272,43.2,-83.6,GIC,measured,NERC,2021-05-12,
10273,42.9,-82.5,GIC,measured,NERC,2021-05-12,
10274,42.9,-82.7,GIC,measured,NERC,2021-05-12,
10275,43.8,-83.1,GIC,measured,NERC,2021-05-12,
10276,42.6,-84.0,GIC,measured,NERC,2021-05-12,
10280,42.4,-85.6,GIC,measured,NERC,2021-05-12,
10281,43.0,-83.9,GIC,measured,NERC,2021-05-12,
10282,43.0,-83.7,GIC,measured,NERC,2021-05-12,
10283,43.6,-84.2,GIC,measured,NERC,2021-05-12,
10284,43.2,-83.6,GIC,measured,NERC,2021-05-12,
10286,43.8,-83.1,GIC,measured,NERC,2021-05-12,
10290,39.5,-97.5,GIC,measured,NERC,2021-05-12,
10325,29.8,-95.2,GIC,measured,NERC,2021-05-12,
10366,42.4,-71.8,GIC,measured,NERC,2021-05-12,
10367,42.4,-71.8,GIC,measured,NERC,2021-05-12,
10368,42.4,-71.8,GIC,measured,NERC,2021-05-12,
