site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10315,44.5,-89.6,GIC,measured,NERC,2021-05-12,,1.212655004665201,0.08373726345428,53.35882956627943,-20.36731613204704,0.4623237485578195,345.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0821 A) > 1/4 * std after (0.1603 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10316,43.7,-88.5,GIC,measured,NERC,2021-05-12,,1.763343750849685,0.2463369830564509,52.62123485178542,-18.95769786931802,0.42472504556762,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:03:40"
10317,43.7,-88.5,GIC,measured,NERC,2021-05-12,,1.763343750849685,0.2463369830564509,52.62123485178542,-18.95769786931802,0.42472504556762,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0331 A) > 1/4 * std after (0.1201 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10318,44.4,-88.7,GIC,measured,NERC,2021-05-12,,1.2746208789783278,0.1053810281802575,53.30868089049664,-19.281701758431016,0.4596651558744061,345.0,MISO,Central,Data is constant for at least 5 minutes starting at time 2021-05-12 17:01:10
10319,43.7,-87.7,GIC,measured,NERC,2021-05-12,,1.3986159376354528,0.1456984728443709,52.66240858411179,-18.00695249862935,0.426740878528886,,MISO,Central,
10320,43.7,-87.7,GIC,measured,NERC,2021-05-12,,1.3986159376354528,0.1456984728443709,52.66240858411179,-18.00695249862935,0.426740878528886,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.2029 A) > 1/4 * std after (0.4090 A)"
10321,43.1,-88.0,GIC,measured,NERC,2021-05-12,,1.572139297661632,0.1964910235899094,52.04869122723954,-18.29459282568489,0.3976608439557521,,MISO,Central,
10322,43.3,-89.4,GIC,measured,NERC,2021-05-12,,2.057880568862676,0.3134201664473121,52.173654049540026,-19.975738475149388,0.4034167778262923,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1386 A) > 1/4 * std after (0.5153 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 17:30:50"
10323,34.6,-117.3,GIC,measured,NERC,2021-05-12,,1.057062648541603,0.0241007272408612,40.95099958276114,-49.96591638666196,0.1109816588437502,,CAISO,West,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 21:10:52"
10329,42.5,-83.5,GIC,measured,NERC,2021-05-12,,0.6829709351358809,-0.1655977779856558,51.64612255053066,-12.900921490254229,0.3796706222565709,,MISO,Central,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
